Device Name: NVIDIA GeForce RTX 3050 Ti Laptop GPU
Max Threads per Block: 1024
Max Threads per Multiprocessor: 1536
Max Blocks per Multiprocessor: 16
Number of SMs: 20


Executing device_main_tiled()
GA:4.000000, SA:4.000000, GB:296.000000, SB:296.000000
GA:4.000000, SA:4.000000, GB:297.000000, SB:297.000000
GA:4.000000, SA:4.000000, GB:298.000000, SB:298.000000
GA:4.000000, SA:4.000000, GB:299.000000, SB:299.000000
GA:4.000000, SA:4.000000, GB:300.000000, SB:300.000000
GA:4.000000, SA:4.000000, GB:301.000000, SB:301.000000
GA:4.000000, SA:4.000000, GB:302.000000, SB:302.000000
GA:4.000000, SA:4.000000, GB:303.000000, SB:303.000000
GA:4.000000, SA:4.000000, GB:304.000000, SB:304.000000
GA:4.000000, SA:4.000000, GB:305.000000, SB:305.000000
GA:4.000000, SA:4.000000, GB:306.000000, SB:306.000000
GA:4.000000, SA:4.000000, GB:307.000000, SB:307.000000
GA:4.000000, SA:4.000000, GB:308.000000, SB:308.000000
GA:4.000000, SA:4.000000, GB:309.000000, SB:309.000000
GA:4.000000, SA:4.000000, GB:310.000000, SB:310.000000
GA:4.000000, SA:4.000000, GB:311.000000, SB:311.000000
GA:36.000000, SA:36.000000, GB:296.000000, SB:296.000000
GA:36.000000, SA:36.000000, GB:297.000000, SB:297.000000
GA:36.000000, SA:36.000000, GB:298.000000, SB:298.000000
GA:36.000000, SA:36.000000, GB:299.000000, SB:299.000000
GA:36.000000, SA:36.000000, GB:300.000000, SB:300.000000
GA:36.000000, SA:36.000000, GB:301.000000, SB:301.000000
GA:36.000000, SA:36.000000, GB:302.000000, SB:302.000000
GA:36.000000, SA:36.000000, GB:303.000000, SB:303.000000
GA:36.000000, SA:36.000000, GB:304.000000, SB:304.000000
GA:36.000000, SA:36.000000, GB:305.000000, SB:305.000000
GA:36.000000, SA:36.000000, GB:306.000000, SB:306.000000
GA:36.000000, SA:36.000000, GB:307.000000, SB:307.000000
GA:36.000000, SA:36.000000, GB:308.000000, SB:308.000000
GA:36.000000, SA:36.000000, GB:309.000000, SB:309.000000
GA:36.000000, SA:36.000000, GB:310.000000, SB:310.000000
GA:36.000000, SA:36.000000, GB:311.000000, SB:311.000000
GA:68.000000, SA:68.000000, GB:296.000000, SB:296.000000
GA:68.000000, SA:68.000000, GB:297.000000, SB:297.000000
GA:68.000000, SA:68.000000, GB:298.000000, SB:298.000000
GA:68.000000, SA:68.000000, GB:299.000000, SB:299.000000
GA:68.000000, SA:68.000000, GB:300.000000, SB:300.000000
GA:68.000000, SA:68.000000, GB:301.000000, SB:301.000000
GA:68.000000, SA:68.000000, GB:302.000000, SB:302.000000
GA:68.000000, SA:68.000000, GB:303.000000, SB:303.000000
GA:68.000000, SA:68.000000, GB:304.000000, SB:304.000000
GA:68.000000, SA:68.000000, GB:305.000000, SB:305.000000
GA:68.000000, SA:68.000000, GB:306.000000, SB:306.000000
GA:68.000000, SA:68.000000, GB:307.000000, SB:307.000000
GA:68.000000, SA:68.000000, GB:308.000000, SB:308.000000
GA:68.000000, SA:68.000000, GB:309.000000, SB:309.000000
GA:68.000000, SA:68.000000, GB:310.000000, SB:310.000000
GA:68.000000, SA:68.000000, GB:311.000000, SB:311.000000
GA:100.000000, SA:100.000000, GB:296.000000, SB:296.000000
GA:100.000000, SA:100.000000, GB:297.000000, SB:297.000000
GA:100.000000, SA:100.000000, GB:298.000000, SB:298.000000
GA:100.000000, SA:100.000000, GB:299.000000, SB:299.000000
GA:100.000000, SA:100.000000, GB:300.000000, SB:300.000000
